customer_id,full_name,email,city,registration_date,loyalty_tier
CUST-0001,Customer 1,user1@example.com,Ho Chi Minh,2025-02-28,Gold
CUST-0002,Customer 2,user2@example.com,Da Nang,2025-02-27,Gold
CUST-0003,Customer 3,user3@example.com,Can Tho,2025-03-22,Platinum
CUST-0004,Customer 4,user4@example.com,Ho Chi Minh,2025-05-15,Silver
CUST-0005,Customer 5,user5@example.com,Hai Phong,2025-02-24,Gold
CUST-0006,Customer 6,user6@example.com,Hai Phong,2025-04-12,Silver
CUST-0007,Customer 7,user7@example.com,Da Nang,2025-03-24,Bronze
CUST-0008,Customer 8,user8@example.com,Hai Phong,2025-06-15,Platinum
CUST-0009,Customer 9,user9@example.com,Ho Chi Minh,2025-02-27,Gold
CUST-0010,Customer 10,user10@example.com,Da Nang,2025-05-03,Bronze
CUST-0011,Customer 11,user11@example.com,Ha Noi,2025-10-18,Bronze
CUST-0012,Customer 12,user12@example.com,Ho Chi Minh,2025-09-06,Bronze
CUST-0013,Customer 13,user13@example.com,Hai Phong,2025-03-06,Silver
CUST-0014,Customer 14,user14@example.com,Can Tho,2025-10-09,Silver
CUST-0015,Customer 15,user15@example.com,Da Nang,2025-09-28,Platinum
CUST-0016,Customer 16,user16@example.com,Ha Noi,2025-10-04,Silver
CUST-0017,Customer 17,user17@example.com,Da Nang,2025-07-24,Gold
CUST-0018,Customer 18,user18@example.com,Can Tho,2025-09-22,Platinum
CUST-0019,Customer 19,user19@example.com,Ho Chi Minh,2025-05-07,Silver
CUST-0020,Customer 20,user20@example.com,Ho Chi Minh,2025-06-23,Bronze
CUST-0021,Customer 21,user21@example.com,Hai Phong,2025-10-11,Silver
CUST-0022,Customer 22,user22@example.com,Hai Phong,2025-04-23,Bronze
CUST-0023,Customer 23,user23@example.com,Ho Chi Minh,2025-01-31,Silver
CUST-0024,Customer 24,user24@example.com,Ho Chi Minh,2025-01-17,Gold
CUST-0025,Customer 25,user25@example.com,Ho Chi Minh,2025-09-21,Silver
CUST-0026,Customer 26,user26@example.com,Da Nang,2025-09-06,Silver
CUST-0027,Customer 27,user27@example.com,Hai Phong,2025-03-09,Platinum
CUST-0028,Customer 28,user28@example.com,Ha Noi,2025-08-31,Platinum
CUST-0029,Customer 29,user29@example.com,Ha Noi,2025-02-18,Bronze
CUST-0030,Customer 30,user30@example.com,Can Tho,2025-07-01,Platinum
CUST-0031,Customer 31,user31@example.com,Can Tho,2025-08-28,Bronze
CUST-0032,Customer 32,user32@example.com,Ho Chi Minh,2025-02-01,Platinum
CUST-0033,Customer 33,user33@example.com,Da Nang,2025-02-25,Silver
CUST-0034,Customer 34,user34@example.com,Ha Noi,2025-04-08,Platinum
CUST-0035,Customer 35,user35@example.com,Ha Noi,2025-08-05,Silver
CUST-0036,Customer 36,user36@example.com,Da Nang,2025-08-25,Silver
CUST-0037,Customer 37,user37@example.com,Ho Chi Minh,2025-08-15,Bronze
CUST-0038,Customer 38,user38@example.com,Ho Chi Minh,2025-10-04,Bronze
CUST-0039,Customer 39,user39@example.com,Ho Chi Minh,2025-05-02,Silver
CUST-0040,Customer 40,user40@example.com,Can Tho,2025-09-06,Platinum
CUST-0041,Customer 41,user41@example.com,Ha Noi,2025-07-25,Bronze
CUST-0042,Customer 42,user42@example.com,Ha Noi,2025-07-14,Bronze
CUST-0043,Customer 43,user43@example.com,Can Tho,2025-05-16,Platinum
CUST-0044,Customer 44,user44@example.com,Da Nang,2025-08-05,Platinum
CUST-0045,Customer 45,user45@example.com,Ha Noi,2025-04-08,Gold
CUST-0046,Customer 46,user46@example.com,Ha Noi,2025-01-30,Bronze
CUST-0047,Customer 47,user47@example.com,Da Nang,2025-01-30,Bronze
CUST-0048,Customer 48,user48@example.com,Hai Phong,2025-09-02,Silver
CUST-0049,Customer 49,user49@example.com,Ho Chi Minh,2025-09-18,Bronze
CUST-0050,Customer 50,user50@example.com,Ha Noi,2025-02-05,Bronze
CUST-0051,Customer 51,user51@example.com,Ha Noi,2025-07-26,Bronze
CUST-0052,Customer 52,user52@example.com,Hai Phong,2025-05-07,Bronze
CUST-0053,Customer 53,user53@example.com,Hai Phong,2025-02-11,Platinum
CUST-0054,Customer 54,user54@example.com,Hai Phong,2025-10-17,Gold
CUST-0055,Customer 55,user55@example.com,Da Nang,2025-04-15,Gold
CUST-0056,Customer 56,user56@example.com,Ha Noi,2025-05-16,Platinum
CUST-0057,Customer 57,user57@example.com,Ha Noi,2025-06-03,Platinum
CUST-0058,Customer 58,user58@example.com,Da Nang,2025-02-07,Bronze
CUST-0059,Customer 59,user59@example.com,Can Tho,2025-10-16,Bronze
CUST-0060,Customer 60,user60@example.com,Ho Chi Minh,2025-10-03,Silver
